eta,Netflix,PrimeVideo,Disney+,Hulu,TimVision,NowTV,Infinity,Dplay,Chili,AppleTV,Crunchyroll,Prezzo
29,0,0,0,0,0,0,0,0,0,0,0,0
29,1,1,1,0,0,0,0,0,0,1,0,"28,97"
29,0,0,0,0,0,0,0,0,0,0,0,0
30,0,1,0,0,0,0,0,0,0,0,0,3
30,0,0,0,0,0,0,0,0,0,0,0,0
30,0,1,0,0,0,0,1,0,0,0,0,"10,99"
30,0,0,0,0,0,0,0,0,0,0,0,0
30,1,0,0,0,0,0,0,0,0,0,0,"11,99"
30,0,1,0,0,0,0,0,0,0,0,0,3
30,0,0,0,0,0,0,0,0,0,0,0,0
30,0,1,0,0,0,1,0,0,0,0,0,"12,99"
30,0,0,0,0,0,0,0,0,0,0,0,0
30,0,1,0,0,0,0,1,0,0,0,0,"10,99"
31,1,0,0,0,0,0,0,0,1,0,0,"11,99"
31,1,0,0,0,0,0,0,0,0,0,0,"11,99"
31,1,0,0,0,0,0,0,0,0,1,0,"16,98"
32,1,0,1,0,0,0,0,0,0,0,0,"20,98"
33,0,0,0,0,0,1,0,0,0,0,0,"9,99"
34,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0
35,0,1,0,0,0,0,0,0,0,0,0,3
35,0,0,0,0,0,1,0,0,0,0,0,"9,99"
35,1,0,0,0,0,0,0,0,0,0,0,"11,99"
35,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,1,0,0,0,0,0,0,0,0,"8,99"
37,1,0,0,0,0,0,0,0,0,0,0,"11,99"
37,0,0,1,0,0,0,0,0,0,0,0,"8,99"
38,0,0,0,0,0,0,0,0,0,1,0,"4,99"
39,0,0,0,0,0,0,1,0,0,0,0,"7,99"
40,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0
41,1,0,1,0,0,0,0,0,0,0,0,"20,98"
42,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0
42,0,1,0,0,0,0,0,0,0,0,0,3
42,0,0,1,0,0,0,0,0,0,0,0,"8,99"
42,0,0,0,0,0,0,0,0,1,0,0,0
43,0,0,0,0,0,0,0,0,0,1,0,"4,99"
44,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,1,0,0,0,0,0,0,0,0,"8,99"
44,1,0,0,0,0,0,0,0,0,0,0,"11,99"
45,0,0,0,0,0,1,0,1,0,0,0,"13,98"
45,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0
45,0,1,0,0,0,0,0,0,0,0,0,3
46,0,0,1,0,0,1,0,0,0,0,0,"18,98"
47,0,0,1,0,0,0,0,0,1,0,0,"8,99"
47,0,0,0,0,0,0,1,0,0,0,0,"7,99"
47,0,1,0,0,0,1,0,0,0,0,0,"12,99"
49,0,0,0,0,0,0,0,0,0,0,0,0
51,1,0,0,0,0,0,0,0,1,0,0,"11,99"
51,0,0,0,0,0,0,0,1,0,0,0,"3,99"
51,0,0,0,0,0,0,0,0,0,0,0,0
52,0,0,1,0,0,0,0,0,0,0,0,"8,99"
52,0,1,0,0,0,0,0,0,0,0,0,3
53,0,0,0,0,0,0,0,0,0,0,0,0
55,1,0,1,0,0,0,0,0,0,0,0,"20,98"
55,0,0,0,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,1,0,0,0,"3,99"
56,0,1,0,0,0,0,0,0,0,0,0,3
56,1,0,0,0,0,0,1,0,0,0,0,"19,98"
56,0,0,0,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0,0,0
57,0,0,1,0,0,0,0,0,0,0,0,"8,99"
59,0,0,0,0,0,0,0,0,0,0,0,0
61,0,0,0,0,0,0,0,0,0,0,0,0
61,0,0,0,0,0,0,0,0,0,0,0,0
62,0,0,1,0,0,0,0,0,0,0,0,"8,99"
62,0,0,0,0,0,0,0,0,0,0,0,0
62,1,0,0,0,0,0,0,0,0,0,0,"11,99"
70,0,0,0,0,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0,0,0,0,0
72,0,0,0,0,0,0,0,0,0,0,0,0
72,0,0,0,0,0,0,0,0,0,0,0,0
73,0,0,0,0,0,0,0,0,0,0,0,0
